date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:00	521/521	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Sep%202015%2018:47:59%20GMT	http://kengodwinstudio.com/robots.txt		(from )
14:48:01	11108/11108	---M--	200	added ('OK')	text/html	etag:%2210e0a6-2b64-5071150251800%22	http://kengodwinstudio.com/	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/index.html	(from )
14:48:01	2136/2136	---M--	200	added ('OK')	image/jpeg	etag:%22174a01d-858-449c5e1a64d80%22	http://kengodwinstudio.com/NEW_PICS_2006/thumb01.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/NEW_PICS_2006/thumb01.jpg	(from http://kengodwinstudio.com/)
14:48:02	21501/21501	---M--	200	added ('OK')	image/jpeg	etag:%221762010-53fd-449c528a30580%22	http://kengodwinstudio.com/images/Untitled-11.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/Untitled-11.jpg	(from http://kengodwinstudio.com/)
14:48:08	40751/40751	---M--	200	added ('OK')	image/jpeg	etag:%22177c005-9f2f-4c16c00916540%22	http://kengodwinstudio.com/images/home/full01.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/home/full01.jpg	(from http://kengodwinstudio.com/)
14:48:08	48456/48456	---M--	200	added ('OK')	image/jpeg	etag:%22176201f-bd48-449c52771d880%22	http://kengodwinstudio.com/images/Untitled3.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/Untitled3.jpg	(from http://kengodwinstudio.com/)
14:48:12	64080/64080	---M--	200	added ('OK')	image/jpeg	etag:%22177c006-fa50-4c16c00a0a780%22	http://kengodwinstudio.com/images/home/full02.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/home/full02.jpg	(from http://kengodwinstudio.com/)
14:48:13	71993/71993	---M--	200	added ('OK')	image/jpeg	etag:%22177c007-11939-4c16c00afe9c0%22	http://kengodwinstudio.com/images/home/full03.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/home/full03.jpg	(from http://kengodwinstudio.com/)
14:48:14	12404/12404	---M--	200	added ('OK')	image/jpeg	etag:%221762076-3074-449c5267db480%22	http://kengodwinstudio.com/images/toptitle.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/toptitle.jpg	(from http://kengodwinstudio.com/)
14:48:14	9321/9321	---M--	200	added ('OK')	text/html	etag:%2210e0a8-2469-5071150439c80%22	http://kengodwinstudio.com/testimonials.htm	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/testimonials.html	(from http://kengodwinstudio.com/)
